,Country,Year,GHG Engery,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,CO2-GDP logged,CO2-GDP PPP logged,CO2-POP logged,Socioeconomic Measures
16,Finland,1971,0.0,0.0,40.81292464,8.721847147,31.49452253,0.0,0.242155201,0.1783211,52.393,0.491,0.494,8.642,-0.3089185078770315,-0.30627305107635305,0.9366142619752112,5.821422703021827
17,France,1971,433.3186661,1627.5393,431.6911268,142.7760271,268.2695294,17.75667797,12.89773437,4.617898976,63.769,0.442,0.396,8.074,-0.3545777306509081,-0.40230481407448765,0.9070887450742956,5.6502062003489
18,Germany,1971,993.8918925,3181.157525,990.710735,565.5336944,385.9150593,38.53923864,13.13702067,7.646320011,76.585,0.676,0.583,12.485,-0.17005330405836405,-0.23433144524098595,1.0963885466873666,6.192003797388017
19,Greece,1971,0.0,0.0,25.47292191,6.755283526,18.55388109,0.0,1.900984086,1.306662572,68.89,0.246,0.166,2.809,-0.6090648928966209,-0.7798919119599449,0.4485517392015781,4.559594934345013
20,Hungary,1971,0.0,0.0,61.32703686,36.5056887,18.66458083,5.974630049,0.0,0.153725096,75.593,1.165,0.553,5.813,0.0663259253620378,-0.2572748686953017,0.7644003229563882,6.073451379623124
21,Iceland,1971,0.0,0.0,1.4179362,0.002704865,1.415231334,0.0,0.0,0.221364031,37.167,0.334,0.359,6.816,-0.4762535331884355,-0.44490555142168087,0.8335295817586437,5.412370497148528
22,Ireland,1971,0.0,0.0,22.16772991,9.318655068,12.84907484,0.0,0.240393988,0.965392911,76.945,0.546,0.49,7.268,-0.2628073572952627,-0.3098039199714863,0.8614149186359967,5.788803641369247
23,Italy,1971,293.844143,1922.53775,291.9216053,32.98857589,234.8037602,24.11157756,23.10852055,3.504930044,65.581,0.328,0.269,5.352,-0.4841261562883209,-0.5702477199975919,0.7285161047597667,5.174142228473854
24,Latvia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
25,Lithuania,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
26,Luxembourg,1971,0.0,0.0,16.52855001,12.32584889,4.166969969,0.035731148,0.0,0.110681866,96.853,1.38,1.349,48.164,0.13987908640123647,0.13001194967190424,1.682722547722145,7.452613583795285
27,Netherlands,1971,128.8385579,172.991224,128.6655667,15.42701401,65.83875586,47.39979678,28.62210313,2.026150312,59.942,0.444,0.399,9.678,-0.3526170298853802,-0.3990271043132517,0.9857856177726052,5.734141483573973
28,Norway,1971,23.50249496,224.0175178,23.27847745,3.883623883,19.39485356,0.0,1.937973084,0.704060636,41.228,0.21,0.259,5.893,-0.6777807052660807,-0.5867002359187482,0.7703364410951492,5.00585549991032
